V2	L1	L2	L3	L4	L5	L6	L7	L8	L9
M13mp18	M13mp18	M13mp18	M13mp18	M13mp18	M13mp18	M13mp18	M13mp18	M13mp18	M13mp18
NC010363.1	Viruses	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	 Caudovirales	 Salasmaviridae	Lactococcus phage asccphi28	P369
J02459.1	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Siphoviridae	 Lambdavirus	Escherichia phage Lambda
NC005856.1	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Myoviridae	 Punavirus	Enterobacteria phage P1
DQ003641.1	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Siphoviridae	Listeria phage P35	Listeria phage P35
V01146.1	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Autographiviridae	 Studiervirinae	Teseptimavirus T7
NC001706.1	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Siphoviridae	 Ceduovirus	Lactococcus phage c2
NC001417.2	Viruses	 Riboviria	 Orthornavirae	 Lenarviricota	 Leviviricetes	Norzivirales	 Fiersviridae	 Emesvirus	phage MS2
NC001422.1	Viruses	 Monodnaviria	 Sangervirae	 Phixviricota	Malgrandaviricetes	 Petitvirales	 Microviridae	 Bullavirinae	Sinsheimervirus Escherichia phage phiX174
NC000866.4	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Myoviridae	 Tevenvirinae	Tequatrovirus Enterobacteria phage T4
NC011048.1	Viruses	 Duplodnaviria	 Heunggongvirae	 Uroviricota	Caudoviricetes	 Caudovirales	 Salasmaviridae	Picovirinae	Bacillus phage phi29
NC003715.1	Viruses	 Riboviria	 Orthornavirae	 Duplornaviricota	Vidaverviricetes	 Mindivirales	 Cystoviridae	 Cystovirus	Pseudomonas phage phi-6 segment L
NC003716.1	Viruses	 Riboviria	 Orthornavirae	 Duplornaviricota	Vidaverviricetes	 Mindivirales	 Cystoviridae	 Cystovirus	Pseudomonas phage phi-6 segment M
NC003714.1	Viruses	 Riboviria	 Orthornavirae	 Duplornaviricota	Vidaverviricetes	 Mindivirales	 Cystoviridae	 Cystovirus	Pseudomonas phage phi-6 segment S
