sampleid	Samplename	cowid	Emitters	Treatment	Time	Day	Period	Methane	Preorpost
S1	Basis_pretreatment	8066	H1	Baseline	Day0	0	P1	18.7	pre
S2	Basis_pretreatment	9052	H2	Baseline	Day0	0	P1	19	pre
S3	Basis_pretreatment	9193	H3	Baseline	Day0	0	P1	21.4	pre
S4	Basis_pretreatment	9215	H4	Baseline	Day0	0	P1	18.4	pre
S5	SWAP_30	8066	H1	SWAP	Post_30min	0.03	P1	null	post
S6	AUTO_30	9025	H2	AUTO	Post_30min	0.03	P1	null	post
S7	SWAP_30	9193	H3	SWAP	Post_30min	0.03	P1	null	post
S8	AUTO_30	9215	H4	AUTO	Post_30min	0.03	P1	null	post
S9	SWAP_D1	8066	H1	SWAP	Day1	1	P1	15.82774654	post
S10	AUTO_D1	9052	H2	AUTO	Day1	1	P1	17.25000261	post
S11	SWAP_D1	9193	H3	SWAP	Day1	1	P1	19.69818923	post
S12	AUTO_D1	9215	H4	AUTO	Day1	1	P1	20.99390769	post
S13	SWAP_D2	8066	H1	SWAP	Day2	2	P1	17.03265277	post
S14	AUTO_D2	9052	H2	AUTO	Day2	2	P1	17.4862662	post
S15	SWAP_D2	9193	H3	SWAP	Day2	2	P1	18.8109899	post
S16	AUTO_D2	9215	H4	AUTO	Day2	2	P1	20.38620223	post
S17	SWAP_D3	8066	H1	SWAP	Day3	3	P1	18.20200837	post
S18	AUTO_D3	9025	H2	AUTO	Day3	3	P1	18.07920881	post
S19	SWAP_D3	9193	H3	SWAP	Day3	3	P1	21.35666039	post
S20	AUTO_D3	9215	H4	AUTO	Day3	3	P1	22.27248256	post
S21	SWAP_D4	8066	H1	SWAP	Day4	4	P1	18.85242229	post
S22	AUTO_D4	9052	H2	AUTO	Day4	4	P1	19.04978846	post
S23	SWAP_D4	9193	H3	SWAP	Day4	4	P1	19.88127641	post
S24	AUTO_D4	9215	H4	AUTO	Day4	4	P1	24.05601826	post
S25	Basis_pretreatment	8066	H1	Baseline	Day0	0	P2	18.7	pre
S26	Basis_pretreatment	9052	H2	Baseline	Day0	0	P2	19	pre
S27	Basis_pretreatment	9193	H3	Baseline	Day0	0	P2	21.4	pre
S28	Basis_pretreatment	9215	H4	Baseline	Day0	0	P2	18.4	pre
S29	AUTO_30	8066	H1	AUTO	Post_30min	0.03	P2	null	post
S30	SWAP_30	9025	H2	SWAP	Post_30min	0.03	P2	null	post
S31	AUTO_30	9193	H3	AUTO	Post_30min	0.03	P2	null	post
S32	SWAP_30	9215	H4	SWAP	Post_30min	0.03	P2	null	post
S33	AUTO_D1	8066	H1	AUTO	Day1	1	P2	18.7216616	post
S34	SWAP_D1	9052	H2	SWAP	Day1	1	P2	16.29561818	post
S35	AUTO_D1	9193	H3	AUTO	Day1	1	P2	19.03294749	post
S36	SWAP_D1	9215	H4	SWAP	Day1	1	P2	21.05434793	post
S37	AUTO_D2	8066	H1	AUTO	Day2	2	P2	18.68820054	post
S38	SWAP_D2	9052	H2	SWAP	Day2	2	P2	15.00191412	post
S39	AUTO_D2	9193	H3	AUTO	Day2	2	P2	20.57961316	post
S40	SWAP_D2	9215	H4	SWAP	Day2	2	P2	23.17749427	post
S41	AUTO_D3	8066	H1	AUTO	Day3	3	P2	18.6120872	post
S42	SWAP_D3	9025	H2	SWAP	Day3	3	P2	15.92080563	post
S43	AUTO_D3	9193	H3	AUTO	Day3	3	P2	18.34224662	post
S44	SWAP_D3	9215	H4	SWAP	Day3	3	P2	23.13543628	post
S45	AUTO_D4	8066	H1	AUTO	Day4	4	P2	18.14705881	post
S46	SWAP_D4	9052	H2	SWAP	Day4	4	P2	16.86462878	post
S47	AUTO_D4	9193	H3	AUTO	Day4	4	P2	18.57275089	post
S48	SWAP_D4	9215	H4	SWAP	Day4	4	P2	23.11561262	post
