#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
zOTU_1233,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1264,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1350,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1371,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1372,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1408,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1439,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1513,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1622,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1760,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1808,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1839,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1862,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1888,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_1952,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2031,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2103,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2125,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2135,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2254,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2285,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2355,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2382,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2403,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2413,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2467,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2549,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2573,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2604,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2623,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2628,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2632,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2652,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2671,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2700,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2702,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2725,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2738,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2744,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2823,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2837,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2883,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_2898,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3008,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3015,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3030,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3055,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3207,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3256,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3257,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3270,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3278,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3280,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3321,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3331,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3338,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3385,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_339,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3414,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3432,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3433,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3445,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3468,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3469,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3475,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3527,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3553,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3588,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3593,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3595,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3603,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3613,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3629,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3648,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3651,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3666,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3676,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3680,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3685,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3694,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3708,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3713,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3723,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3770,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3795,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3822,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3849,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3850,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3851,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3894,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3904,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3936,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3940,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3955,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3975,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_3984,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4007,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4028,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4045,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4051,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4061,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4090,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4114,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4140,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4141,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4150,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4160,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4174,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4176,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4179,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4204,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4219,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4272,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4276,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4278,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4287,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4302,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4310,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4313,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4320,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4330,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4346,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4362,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4365,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4368,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4372,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4375,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4385,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4391,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4403,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4412,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4413,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4435,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4437,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4452,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4474,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_4487,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_809,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_877,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_916,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_950,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_962,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
zOTU_10,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
zOTU_100,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__
zOTU_1000,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__
zOTU_1001,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_1002,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__
zOTU_1003,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_1004,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__
zOTU_1005,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
zOTU_1006,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__
zOTU_1007,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__
zOTU_1008,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_1009,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Butyrivibrio,s__
zOTU_1010,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,,
zOTU_1011,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__
zOTU_1012,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_1013,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__
zOTU_1014,k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Fibrobacter,s__succinogenes
zOTU_1015,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,g__Anaeroplasma,s__
zOTU_1016,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__Paraprevotella,s__
zOTU_1017,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__YS2,f__,g__,s__
zOTU_1018,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__
zOTU_1019,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_102,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__,s__
zOTU_1020,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Butyrivibrio,s__
zOTU_1021,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__YRC22,s__
zOTU_1022,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__
zOTU_1023,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__
zOTU_1024,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,g__,s__
zOTU_1025,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,,
zOTU_1026,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_1027,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__
zOTU_1028,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
zOTU_1029,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
