#OTU ID	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S40	S41	S42	S43	S44	S45	S46	S47	S48	S4	S5	S6	S7	S8	S9
zOTU_1	2342	2360	5211	5000	4395	3916	8558	3176	3986	3832	2551	11478	4558	3022	4598	10751	5091	2938	3964	6065	5660	2491	6071	4948	10663	4671	2902	6597	4851	3710	36	262	2888	14283	8235	1945	4021	12101	5224	2526	4464	12145	4506	4016	4489	2786	8395	2031
zOTU_10	432	843	411	945	1185	832	828	422	801	862	374	512	643	669	1247	720	389	602	924	490	404	551	497	1109	449	471	557	1342	333	443	3	155	926	648	1001	584	1444	900	749	505	1562	683	386	457	463	1262	823	282
zOTU_100	43	28	18	183	113	49	62	52	81	41	39	98	73	21	70	57	30	37	36	34	151	26	98	64	114	74	40	54	27	67	1	8	35	89	117	80	56	68	71	54	69	64	14	248	91	52	181	39
zOTU_1000	1	4	3	3	0	5	5	4	1	2	7	7	4	1	6	9	11	0	10	6	10	2	0	6	3	19	0	12	3	4	0	0	3	14	11	0	4	8	16	2	5	5	7	11	3	10	12	1
zOTU_1001	9	2	0	6	23	4	3	1	16	1	2	2	4	14	3	8	8	10	5	2	2	13	10	0	2	13	18	1	6	7	0	6	5	7	9	8	5	8	3	11	7	5	0	6	15	1	1	2
zOTU_1002	3	6	8	2	6	1	5	5	6	6	4	6	2	0	5	5	4	6	6	6	3	3	22	7	5	4	6	10	5	4	0	0	0	13	12	3	4	17	4	7	8	9	3	2	7	6	5	1
zOTU_1003	2	7	0	3	2	9	1	4	2	8	5	1	10	10	13	1	11	3	15	3	9	3	4	16	2	6	0	19	1	3	0	0	7	2	10	0	8	6	5	3	7	0	1	5	1	12	0	5
zOTU_1004	1	5	6	1	1	3	7	6	5	4	1	5	4	4	6	6	4	5	6	6	7	7	22	8	6	3	4	4	5	0	0	0	3	14	6	7	4	7	7	15	10	4	1	6	14	4	4	0
zOTU_1005	5	1	13	2	3	0	15	5	2	0	7	30	3	5	0	11	2	11	0	10	2	5	5	0	13	1	5	0	2	4	0	0	0	20	10	5	0	23	9	4	0	10	5	6	3	0	11	0
zOTU_1006	9	11	10	20	23	10	9	6	8	10	14	6	10	16	14	5	9	11	18	4	9	11	18	15	23	14	12	12	7	3	0	0	4	9	15	18	14	16	16	15	11	13	4	8	12	10	15	10
zOTU_1007	6	5	6	9	7	5	7	4	5	1	3	2	0	7	9	5	8	10	6	2	4	7	8	11	8	7	5	8	4	3	0	0	4	10	3	7	14	3	2	1	5	3	2	4	9	5	8	3
zOTU_1008	6	2	0	2	20	4	2	2	7	1	9	1	8	6	12	9	6	11	9	3	3	16	5	4	0	4	4	8	4	1	0	5	9	3	11	3	7	5	5	3	9	4	3	1	3	3	2	11
zOTU_1009	5	6	3	8	14	4	9	8	12	3	12	7	8	6	9	5	14	8	15	10	3	10	10	15	7	7	10	13	2	9	0	0	9	6	19	5	3	15	10	6	5	6	6	9	8	15	12	5
zOTU_101	53	75	95	133	87	68	98	77	106	127	69	190	106	65	118	99	90	64	99	86	127	49	169	111	146	95	45	168	66	45	1	0	63	152	170	65	102	160	98	63	136	117	58	94	69	53	92	54
zOTU_1010	20	0	1	2	15	2	4	0	4	0	5	1	4	24	1	3	6	25	19	3	1	2	4	2	1	12	16	2	5	2	0	0	10	0	10	8	16	2	12	5	5	5	0	2	1	6	0	3
zOTU_1011	8	3	6	1	9	10	12	0	3	2	0	4	1	3	11	7	2	10	3	5	4	2	9	4	14	1	4	13	3	1	0	4	2	8	3	1	0	7	0	0	7	7	1	4	7	10	21	0
zOTU_1012	5	4	6	10	12	3	0	4	9	1	4	1	8	7	9	5	9	13	11	11	1	6	3	4	1	3	2	7	2	10	0	0	10	5	16	9	6	8	8	8	5	4	2	2	1	3	1	2
zOTU_1013	2	3	3	2	7	3	6	2	1	6	0	6	2	4	12	6	0	1	8	6	4	1	8	8	21	0	2	9	8	1	0	0	4	14	2	1	9	12	1	2	11	9	0	0	13	7	19	0
zOTU_1014	2	1	10	3	9	0	7	1	3	0	1	5	1	9	3	12	3	14	4	11	2	6	6	4	10	4	2	7	5	7	0	0	0	3	10	7	5	20	5	2	11	20	6	2	11	3	10	1
zOTU_1015	4	4	5	4	1	0	9	1	5	3	0	1	4	8	4	1	1	12	3	0	1	6	23	11	1	0	22	3	0	2	0	6	5	6	2	10	17	5	1	7	4	3	1	4	16	8	11	2
zOTU_1016	8	3	1	10	6	6	9	2	1	4	0	2	7	3	5	4	5	3	6	2	18	1	5	9	10	7	4	8	2	12	0	0	4	4	10	3	5	6	7	2	10	2	3	8	24	2	7	3
zOTU_1017	1	0	1	8	10	2	6	5	1	2	5	5	2	9	1	5	2	3	6	2	5	6	16	16	4	7	3	6	0	1	0	0	4	3	13	1	4	8	4	6	6	3	5	9	6	9	32	1
zOTU_1018	7	3	1	12	13	8	3	3	9	2	4	3	4	1	7	1	6	8	5	2	4	4	22	7	4	2	3	14	0	2	0	0	2	2	7	7	2	0	5	3	12	2	3	4	9	4	8	0
zOTU_1019	0	5	11	2	0	9	9	0	0	2	0	9	1	2	15	12	1	0	14	19	0	0	1	13	10	0	0	12	11	1	0	3	5	24	0	1	7	28	0	1	11	18	7	1	0	13	11	1
zOTU_102	178	43	22	44	132	75	62	27	90	54	36	38	69	37	54	32	45	192	60	34	50	57	259	81	52	76	181	155	27	32	0	1	36	74	60	112	31	37	44	72	69	41	20	49	82	49	30	66
zOTU_1020	6	2	7	8	7	2	6	4	4	1	7	6	12	9	9	12	7	17	18	12	3	11	6	6	12	10	3	16	10	9	0	0	6	9	15	11	8	23	6	5	17	7	4	9	3	7	14	4
zOTU_1021	0	5	4	5	0	11	21	4	0	1	0	10	7	0	10	11	13	0	2	6	11	0	0	10	7	17	0	5	8	4	0	0	1	3	23	0	7	7	12	0	5	3	2	6	1	6	18	2
zOTU_1022	0	0	4	0	0	4	13	0	0	4	0	20	0	0	4	5	1	0	3	6	0	0	0	6	18	1	0	7	6	1	0	0	2	9	3	0	2	7	1	0	2	10	8	0	0	4	59	0
zOTU_1023	3	1	7	2	10	7	7	2	14	10	1	15	6	9	7	5	12	15	16	4	4	10	16	8	4	4	3	8	3	6	0	0	7	20	8	3	6	14	7	6	7	7	7	5	11	8	17	1
zOTU_1024	1	6	3	8	1	2	1	1	3	3	7	1	14	1	12	1	8	2	8	2	13	2	4	6	5	9	0	4	1	2	0	0	5	2	13	6	6	14	5	1	9	7	1	8	2	4	7	1
zOTU_1025	1	0	1	6	26	0	1	0	18	0	2	4	1	60	2	1	1	20	4	3	3	0	7	7	4	3	13	1	2	3	0	0	4	4	7	19	4	5	1	4	3	6	3	1	2	2	7	4
zOTU_1026	1	2	5	5	6	13	4	2	7	5	3	3	6	4	9	3	13	5	8	9	7	1	3	11	11	8	4	15	4	3	0	0	9	5	30	5	9	6	16	4	10	1	2	1	6	19	3	3
